age,income,pre_test_score,attendance_score,program_offered,program_participation,post_test_score,tau,categ
47.0,9156.0,47.81,50.8,1,1,77.81,34.14999999999999,complier
47.8,12595.0,51.57,21.1,1,1,81.57,33.62,complier
46.1,3440.0,38.52,63.4,0,0,38.52,35.46999999999999,complier
41.3,1205.0,32.87,38.1,1,1,62.87,36.27,complier
45.0,15600.0,56.46,52.8,0,0,56.46,32.93,complier
48.2,1532.0,33.12,67.8,0,0,33.12,36.23,complier
46.3,4167.0,40.89,23.5,0,0,40.89,17.97,never-taker
38.5,4840.0,41.76,1.6,1,0,41.76,17.840000000000003,never-taker
39.6,352.0,31.06,61.2,1,1,61.06,36.53,complier
42.0,964.0,35.15,23.8,1,0,35.15,18.78,never-taker
43.0,8969.0,46.71,9.9,0,0,46.71,17.14,never-taker
44.8,7963.0,44.78,32.9,1,1,74.78,34.58,complier
39.1,485.0,31.52,1.1,0,0,31.52,19.3,never-taker
48.0,7363.0,42.67,27.8,0,0,42.67,34.879999999999995,complier
34.7,4481.0,37.8,44.0,1,1,67.8,35.57000000000001,complier
46.6,2990.0,38.88,14.9,1,0,38.88,18.25,never-taker
46.5,7121.0,43.54,24.1,1,0,43.54,17.590000000000003,never-taker
47.2,9777.0,47.72,7.1,0,0,47.72,17.0,never-taker
28.7,5648.0,41.15,16.6,1,0,41.15,17.93,never-taker
37.3,8066.0,44.84,27.4,1,1,74.84,34.56999999999999,complier
42.2,10888.0,50.77,52.1,1,1,80.77000000000001,33.73,complier
44.8,1035.0,31.77,24.6,1,1,61.77,36.43000000000001,complier
43.6,13591.0,55.58,41.4,1,1,85.58,33.05,complier
39.9,3946.0,36.64,30.2,1,1,66.64,35.730000000000004,complier
50.4,13437.0,56.9,25.1,0,0,56.9,15.699999999999996,never-taker
45.6,13588.0,56.3,43.0,0,0,56.3,32.95,complier
42.0,4855.0,39.23,5.3,0,0,39.23,18.200000000000003,never-taker
39.1,753.0,31.63,21.9,0,0,31.63,36.45,complier
44.3,2137.0,35.52,14.0,0,0,35.52,18.73,never-taker
50.3,3588.0,40.37,46.7,0,0,40.37,35.21,complier
44.2,960.0,33.96,1.7,1,0,33.96,18.95,never-taker
43.8,2302.0,35.37,74.0,0,0,35.37,35.910000000000004,complier
44.3,7527.0,42.96,30.1,0,0,42.96,34.84,complier
44.6,1263.0,35.45,31.1,1,0,35.45,18.739999999999995,never-taker
42.8,24270.0,70.63,33.2,0,0,70.63,30.92,complier
39.1,361.0,33.23,33.9,1,1,63.23,36.220000000000006,complier
51.6,4335.0,39.44,76.2,1,1,69.44,35.34,complier
47.2,545.0,31.84,8.0,0,0,31.84,19.250000000000004,never-taker
54.6,6182.0,44.69,28.2,0,0,44.69,17.43,never-taker
46.5,1947.0,35.5,37.4,1,1,65.5,35.900000000000006,complier
42.8,4177.0,37.54,50.8,0,0,37.54,35.61000000000001,complier
39.3,4778.0,38.96,7.6,0,0,38.96,18.24,never-taker
42.4,2928.0,36.49,22.1,0,0,36.49,18.59,never-taker
38.2,6043.0,43.62,53.6,0,0,43.62,34.75000000000001,complier
54.5,5849.0,41.29,40.4,0,0,41.29,35.080000000000005,complier
43.9,4428.0,39.0,30.0,0,0,39.0,35.400000000000006,complier
47.9,443.0,31.54,57.9,0,0,31.54,36.46,complier
48.8,4141.0,38.89,4.7,1,0,38.89,18.25,never-taker
49.4,4771.0,38.9,25.0,1,1,68.9,35.410000000000004,complier
56.7,765.0,33.2,30.2,0,0,33.2,19.059999999999995,never-taker
43.5,3590.0,37.82,38.0,0,0,37.82,35.57,complier
43.1,2941.0,38.89,11.0,0,0,38.89,18.25,never-taker
44.8,5847.0,41.3,29.3,1,1,71.3,35.07000000000001,complier
47.7,9355.0,46.17,23.3,0,0,46.17,34.379999999999995,complier
44.9,4328.0,37.84,17.0,0,0,37.84,18.4,never-taker
42.7,4999.0,42.05,25.3,0,0,42.05,17.800000000000004,never-taker
40.4,2060.0,34.86,58.6,0,0,34.86,35.989999999999995,complier
40.1,1163.0,34.75,28.8,0,0,34.75,18.840000000000003,never-taker
45.3,8309.0,47.16,29.6,1,0,47.16,17.08,never-taker
39.0,4498.0,40.56,45.5,1,1,70.56,35.17999999999999,complier
34.9,1257.0,34.26,25.2,1,0,34.26,18.910000000000004,never-taker
44.6,10821.0,49.84,19.8,1,0,49.84,16.700000000000003,never-taker
49.8,2433.0,37.93,27.8,1,0,37.93,18.39,never-taker
47.3,2367.0,35.08,25.5,1,1,65.08,35.96000000000001,complier
43.9,2141.0,34.58,47.1,1,1,64.58,36.03,complier
46.0,831.0,31.78,28.0,0,0,31.78,36.42,complier
35.8,1562.0,34.25,12.5,0,0,34.25,18.91,never-taker
40.6,3044.0,38.12,40.6,1,1,68.12,35.53000000000001,complier
52.4,5832.0,42.24,19.9,1,0,42.24,17.78,never-taker
49.9,4237.0,40.85,22.7,1,0,40.85,17.97,never-taker
40.4,4737.0,40.95,25.0,0,0,40.95,17.959999999999994,never-taker
52.8,6567.0,45.28,31.3,1,0,45.28,17.35,never-taker
40.4,14793.0,54.82,35.8,1,1,84.82,33.160000000000004,complier
39.9,3686.0,37.89,68.2,0,0,37.89,35.56,complier
51.7,417.0,33.48,9.0,1,0,33.48,19.020000000000003,never-taker
50.5,5864.0,40.91,13.2,0,0,40.91,17.96,never-taker
41.1,2221.0,35.02,2.8,1,0,35.02,18.8,never-taker
43.8,4030.0,37.51,15.6,0,0,37.51,18.450000000000003,never-taker
42.3,2639.0,38.28,19.3,1,0,38.28,18.34,never-taker
46.5,11498.0,49.57,52.8,0,0,49.57,33.9,complier
51.8,1336.0,35.3,4.2,0,0,35.3,18.760000000000005,never-taker
46.7,3356.0,38.63,20.7,1,0,38.63,18.29,never-taker
43.4,5197.0,42.19,28.9,0,0,42.19,17.78,never-taker
37.3,848.0,32.12,24.6,1,1,62.12,36.38,complier
47.9,739.0,32.91,9.0,0,0,32.91,19.1,never-taker
37.9,2450.0,35.48,39.1,1,1,65.47999999999999,35.9,complier
43.1,967.0,34.65,24.5,1,0,34.65,18.85,never-taker
48.8,7942.0,45.65,27.3,1,0,45.65,17.29,never-taker
48.1,862.0,33.59,41.3,0,0,33.59,36.17,complier
48.2,980.0,34.59,70.0,0,0,34.59,36.03,complier
47.5,1602.0,35.36,4.2,0,0,35.36,18.75,never-taker
44.7,337.0,32.03,21.5,0,0,32.03,19.22,never-taker
45.5,610.0,34.36,29.5,1,0,34.36,18.89,never-taker
44.5,954.0,31.71,18.4,0,0,31.71,19.27,never-taker
46.4,4355.0,37.93,10.9,0,0,37.93,18.39,never-taker
46.7,3142.0,38.18,31.5,0,0,38.18,18.35,never-taker
44.7,7011.0,44.83,5.6,0,0,44.83,17.410000000000004,never-taker
46.6,2472.0,36.32,21.4,0,0,36.32,18.62,never-taker
40.6,3938.0,38.75,65.9,0,0,38.75,35.44,complier
42.5,1135.0,33.72,29.7,0,0,33.72,36.150000000000006,complier
45.2,7642.0,46.62,7.4,1,0,46.62,17.160000000000004,never-taker
53.6,5353.0,40.92,43.5,0,0,40.92,35.129999999999995,complier
46.6,5913.0,40.56,9.4,1,0,40.56,18.009999999999998,never-taker
43.3,548.0,34.21,5.4,1,0,34.21,18.91,never-taker
42.9,7974.0,47.15,15.8,0,0,47.15,17.080000000000005,never-taker
47.7,2485.0,37.23,38.1,0,0,37.23,35.65,complier
43.5,3036.0,38.16,22.6,1,0,38.16,18.35,never-taker
47.2,1506.0,35.1,22.9,0,0,35.1,18.79,never-taker
46.6,8673.0,48.27,11.3,1,0,48.27,16.919999999999995,never-taker
37.8,3447.0,37.84,27.8,1,1,67.84,35.56,complier
46.4,411.0,31.05,20.5,0,0,31.05,19.36,never-taker
46.3,572.0,35.34,25.7,0,0,35.34,18.75,never-taker
48.0,454.0,34.27,22.4,0,0,34.27,18.91,never-taker
39.8,747.0,32.11,7.1,1,0,32.11,19.21,never-taker
49.5,13397.0,52.85,62.7,0,0,52.85,33.440000000000005,complier
43.2,7794.0,46.91,10.4,1,0,46.91,17.11,never-taker
53.9,2923.0,38.14,26.9,1,0,38.14,18.36,never-taker
52.8,2287.0,34.39,9.6,1,0,34.39,18.89,never-taker
41.0,1294.0,34.41,23.3,1,0,34.41,18.89,never-taker
37.2,6820.0,42.76,44.0,1,1,72.75999999999999,34.87,complier
47.5,10642.0,49.88,43.7,0,0,49.88,33.85999999999999,complier
39.9,9116.0,48.1,21.8,1,0,48.1,16.949999999999996,never-taker
49.7,3586.0,40.46,15.7,0,0,40.46,18.03,never-taker
46.6,6192.0,41.48,16.9,1,0,41.48,17.880000000000003,never-taker
36.7,3855.0,36.73,20.3,1,1,66.72999999999999,35.720000000000006,complier
47.9,2263.0,38.09,7.4,1,0,38.09,18.36,never-taker
44.7,2009.0,34.38,12.7,0,0,34.38,18.89,never-taker
46.1,5347.0,41.41,28.4,0,0,41.41,17.89,never-taker
51.6,1430.0,36.81,30.8,1,0,36.81,18.55,never-taker
43.4,1594.0,34.07,27.2,0,0,34.07,36.1,complier
47.8,10418.0,51.49,21.2,0,0,51.49,16.46,never-taker
41.0,1117.0,35.93,12.9,1,0,35.93,18.67,never-taker
41.1,2457.0,35.76,20.1,0,0,35.76,18.690000000000005,never-taker
42.9,4110.0,38.7,39.3,0,0,38.7,35.44,complier
40.9,515.0,30.8,28.7,1,1,60.8,36.56,complier
46.8,14558.0,55.41,28.0,0,0,55.41,33.07000000000001,complier
37.4,9736.0,46.43,52.2,0,0,46.43,34.35,complier
48.1,12045.0,53.49,22.8,0,0,53.49,16.18,never-taker
40.2,649.0,32.21,30.2,1,1,62.21,36.35999999999999,complier
45.9,370.0,34.09,31.6,1,0,34.09,18.93,never-taker
38.1,918.0,34.37,29.6,1,0,34.37,18.89,never-taker
46.4,3535.0,39.22,39.6,1,1,69.22,35.370000000000005,complier
49.4,2322.0,35.06,30.3,0,0,35.06,35.959999999999994,complier
44.0,9011.0,48.33,24.6,0,0,48.33,16.909999999999997,never-taker
51.7,12443.0,53.95,27.5,1,0,53.95,16.11999999999999,never-taker
43.3,2716.0,35.46,16.1,0,0,35.46,18.74,never-taker
46.1,6862.0,45.27,26.9,0,0,45.27,17.349999999999994,never-taker
39.4,1836.0,33.91,12.6,1,0,33.91,18.96,never-taker
46.2,11685.0,50.39,15.4,0,0,50.39,16.620000000000005,never-taker
41.2,993.0,35.49,3.1,0,0,35.49,18.73,never-taker
40.4,5609.0,41.9,36.8,1,1,71.9,34.99,complier
51.9,10847.0,50.44,26.8,1,0,50.44,16.61,never-taker
37.6,2966.0,35.6,6.8,0,0,35.6,18.72,never-taker
43.4,1538.0,33.34,35.8,1,1,63.34,36.2,complier
47.6,9694.0,47.98,11.1,1,0,47.98,16.96,never-taker
45.2,8818.0,46.05,13.8,0,0,46.05,17.240000000000002,never-taker
34.8,8153.0,43.69,12.3,0,0,43.69,17.57,never-taker
47.0,12921.0,53.86,40.8,1,1,83.86,33.290000000000006,complier
37.1,2387.0,34.96,22.3,1,1,64.96000000000001,35.970000000000006,complier
41.8,1756.0,33.84,23.4,1,1,63.84,36.13,complier
42.8,1082.0,32.45,31.4,1,1,62.45,36.33,complier
29.4,2735.0,34.5,14.6,1,1,64.5,36.040000000000006,complier
43.5,492.0,33.35,23.3,0,0,33.35,19.04,never-taker
47.3,485.0,34.36,55.3,1,1,64.36,36.06,complier
43.1,2116.0,35.71,29.2,1,1,65.71000000000001,35.87,complier
44.9,1522.0,34.32,12.1,1,0,34.32,18.9,never-taker
55.3,9370.0,50.32,20.4,1,0,50.32,16.630000000000003,never-taker
49.6,460.0,35.01,9.0,0,0,35.01,18.800000000000004,never-taker
44.3,8372.0,48.14,38.4,1,1,78.14,34.099999999999994,complier
56.9,7226.0,43.71,24.8,0,0,43.71,17.57,never-taker
40.8,5728.0,40.73,4.3,1,0,40.73,17.990000000000002,never-taker
46.6,390.0,34.1,65.7,0,0,34.1,36.09,complier
36.1,7301.0,44.44,44.7,0,0,44.44,34.629999999999995,complier
46.0,5097.0,39.6,42.9,0,0,39.6,35.32,complier
43.4,2550.0,35.03,27.9,1,1,65.03,35.959999999999994,complier
44.3,4136.0,40.06,41.7,0,0,40.06,35.25,complier
45.9,11029.0,52.86,42.2,1,1,82.86,33.44,complier
45.4,2079.0,35.63,25.6,0,0,35.63,18.71,never-taker
38.6,5653.0,41.78,30.0,1,1,71.78,35.010000000000005,complier
42.1,7231.0,42.18,34.8,1,1,72.18,34.95,complier
44.0,3470.0,36.94,58.0,1,1,66.94,35.69,complier
36.9,11108.0,50.24,27.1,1,1,80.24000000000001,33.809999999999995,complier
48.0,8083.0,43.79,11.0,1,0,43.79,17.560000000000002,never-taker
53.4,1267.0,33.59,56.9,1,1,63.59,36.17,complier
45.5,4774.0,39.82,15.6,0,0,39.82,18.12,never-taker
41.4,1947.0,35.84,58.2,0,0,35.84,35.849999999999994,complier
32.5,5017.0,40.45,28.4,1,1,70.45,35.19,complier
36.4,6296.0,43.04,13.7,1,0,43.04,17.660000000000004,never-taker
45.7,2821.0,36.89,23.0,1,0,36.89,18.53,never-taker
50.3,10914.0,51.23,43.7,1,1,81.22999999999999,33.67000000000001,complier
42.9,2427.0,37.05,29.6,1,0,37.05,18.510000000000005,never-taker
36.6,8240.0,44.69,41.2,1,1,74.69,34.59,complier
39.6,2468.0,34.1,24.4,1,1,64.1,36.09,complier
41.1,986.0,33.45,30.8,0,0,33.45,36.19,complier
34.3,950.0,31.81,23.1,0,0,31.81,36.42,complier
42.4,2815.0,36.31,40.3,1,1,66.31,35.78,complier
48.5,2059.0,36.93,23.9,1,0,36.93,18.53,never-taker
35.6,4198.0,38.42,27.6,0,0,38.42,35.480000000000004,complier
41.2,2930.0,36.35,10.2,0,0,36.35,18.61,never-taker
33.9,4382.0,38.18,8.9,0,0,38.18,18.35,never-taker
39.9,668.0,31.18,64.3,1,1,61.18,36.51,complier
43.3,1678.0,35.2,53.8,1,1,65.2,35.94,complier
49.1,6347.0,41.92,56.8,0,0,41.92,34.989999999999995,complier
46.3,6066.0,43.59,21.9,0,0,43.59,17.58,never-taker
38.1,2460.0,36.65,25.5,0,0,36.65,18.57,never-taker
44.5,4530.0,39.63,24.6,1,0,39.63,18.15,never-taker
42.3,13346.0,55.06,16.2,0,0,55.06,15.959999999999994,never-taker
43.9,4555.0,37.91,51.2,1,1,67.91,35.55,complier
43.0,851.0,34.15,20.8,1,0,34.15,18.92,never-taker
45.6,4199.0,37.18,44.7,0,0,37.18,35.660000000000004,complier
44.9,548.0,33.79,14.4,0,0,33.79,18.97,never-taker
48.3,2554.0,35.26,30.4,1,1,65.25999999999999,35.93,complier
44.6,1617.0,33.46,12.8,1,0,33.46,19.02,never-taker
52.4,19920.0,65.08,65.4,1,1,95.08,31.700000000000003,complier
46.6,467.0,33.17,16.1,0,0,33.17,19.059999999999995,never-taker
51.4,4239.0,41.11,18.0,1,0,41.11,17.939999999999998,never-taker
47.6,9229.0,47.05,42.6,1,1,77.05,34.260000000000005,complier
40.6,2239.0,37.32,14.0,1,0,37.32,18.47,never-taker
50.2,12443.0,53.17,6.2,0,0,53.17,16.230000000000004,never-taker
49.9,15505.0,59.36,14.7,0,0,59.36,15.349999999999994,never-taker
29.6,7108.0,44.89,38.8,1,1,74.89,34.56999999999999,complier
41.3,12190.0,50.55,6.5,0,0,50.55,16.60000000000001,never-taker
51.2,3102.0,39.52,64.6,1,1,69.52000000000001,35.32999999999999,complier
49.3,2014.0,37.22,33.4,0,0,37.22,18.49,never-taker
36.7,650.0,34.18,23.9,1,0,34.18,18.92,never-taker
48.3,8074.0,43.89,43.9,0,0,43.89,34.709999999999994,complier
52.6,2006.0,37.3,7.7,1,0,37.3,18.480000000000004,never-taker
47.0,7818.0,46.65,33.5,0,0,46.65,17.15,never-taker
36.6,999.0,31.98,9.0,1,0,31.98,19.23,never-taker
40.1,411.0,32.11,21.0,0,0,32.11,19.21,never-taker
46.0,7439.0,45.36,13.2,1,0,45.36,17.33,never-taker
42.9,1008.0,33.54,53.9,0,0,33.54,36.17,complier
50.4,8169.0,45.3,40.6,1,1,75.3,34.510000000000005,complier
47.7,10409.0,50.94,43.1,0,0,50.94,33.71000000000001,complier
53.8,1287.0,35.66,3.7,0,0,35.66,18.71,never-taker
49.1,10187.0,49.34,54.2,0,0,49.34,33.92999999999999,complier
46.8,13583.0,55.61,23.8,0,0,55.61,15.879999999999995,never-taker
42.4,555.0,34.95,30.2,0,0,34.95,18.809999999999995,never-taker
51.0,1471.0,33.51,43.0,1,1,63.51,36.18,complier
44.0,6962.0,42.87,21.5,1,0,42.87,17.690000000000005,never-taker
38.9,4718.0,38.91,42.1,1,1,68.91,35.41,complier
44.2,13746.0,55.73,19.1,1,0,55.73,15.860000000000008,never-taker
43.5,2343.0,37.62,13.2,1,0,37.62,18.43,never-taker
39.0,4487.0,37.53,13.7,0,0,37.53,18.44,never-taker
48.1,1667.0,34.96,20.9,0,0,34.96,18.81,never-taker
43.3,2109.0,35.08,10.7,0,0,35.08,18.79,never-taker
46.0,5724.0,40.62,28.0,0,0,40.62,35.17000000000001,complier
40.1,6618.0,43.71,45.6,1,1,73.71000000000001,34.73,complier
43.2,2318.0,36.95,32.8,1,0,36.95,18.529999999999998,never-taker
47.9,1429.0,36.72,39.4,0,0,36.72,18.56,never-taker
42.8,1691.0,33.58,12.9,0,0,33.58,19.0,never-taker
42.2,429.0,33.29,22.8,0,0,33.29,19.04,never-taker
54.9,5582.0,43.87,6.0,0,0,43.87,17.54,never-taker
45.6,4668.0,39.4,23.0,0,0,39.4,18.18,never-taker
47.7,1269.0,34.23,27.8,1,0,34.23,18.910000000000004,never-taker
47.7,1405.0,34.84,40.6,1,1,64.84,35.989999999999995,complier
44.5,3642.0,37.97,11.1,1,0,37.97,18.380000000000003,never-taker
46.6,9032.0,48.31,25.4,1,0,48.31,16.92,never-taker
39.1,3095.0,37.04,36.3,1,1,67.03999999999999,35.68,complier
51.2,333.0,33.79,25.6,0,0,33.79,18.97,never-taker
50.2,1140.0,35.8,33.6,1,0,35.8,18.690000000000005,never-taker
45.0,3559.0,38.29,23.7,1,0,38.29,18.340000000000003,never-taker
44.0,461.0,32.19,20.7,0,0,32.19,19.200000000000003,never-taker
37.8,590.0,34.54,42.3,1,1,64.53999999999999,36.03,complier
49.1,10415.0,50.34,5.7,1,0,50.34,16.629999999999995,never-taker
42.7,15370.0,56.39,28.0,1,1,86.39,32.94,complier
47.0,2304.0,34.3,41.9,0,0,34.3,36.07000000000001,complier
36.8,1321.0,32.28,41.3,1,1,62.28,36.35,complier
47.2,20119.0,65.52,14.7,0,0,65.52,14.480000000000004,never-taker
43.1,5169.0,42.16,6.1,1,0,42.16,17.790000000000006,never-taker
44.1,1910.0,34.42,23.0,1,0,34.42,18.879999999999995,never-taker
36.9,761.0,32.22,74.8,1,1,62.22,36.36,complier
47.4,13659.0,54.99,5.0,1,0,54.99,15.969999999999992,never-taker
40.9,5197.0,38.79,60.2,0,0,38.79,35.43,complier
43.8,3456.0,37.23,29.9,0,0,37.23,35.65,complier
48.0,7551.0,46.78,55.6,1,1,76.78,34.3,complier
43.6,2977.0,38.02,34.8,1,1,68.02000000000001,35.54,complier
53.9,1438.0,35.17,14.5,0,0,35.17,18.78,never-taker
39.5,363.0,31.24,9.0,0,0,31.24,19.34,never-taker
45.2,2718.0,34.89,36.7,0,0,34.89,35.980000000000004,complier
46.1,23240.0,72.83,21.5,1,0,72.83,13.439999999999998,never-taker
38.9,2893.0,38.1,14.9,0,0,38.1,18.36,never-taker
44.4,3817.0,37.05,27.8,0,0,37.05,35.68000000000001,complier
43.0,21464.0,66.91,73.8,1,1,96.91,31.44,complier
45.1,2738.0,37.21,24.7,0,0,37.21,18.49,never-taker
46.3,5107.0,41.68,64.8,0,0,41.68,35.02,complier
51.0,809.0,34.9,29.9,1,0,34.9,18.82,never-taker
45.4,2258.0,34.78,14.9,1,0,34.78,18.83,never-taker
46.7,1590.0,36.71,62.5,1,1,66.71000000000001,35.73,complier
51.5,4997.0,39.44,14.3,1,0,39.44,18.17,never-taker
36.1,1004.0,33.62,29.8,1,1,63.62,36.16,complier
42.7,4055.0,36.99,45.6,1,1,66.99000000000001,35.690000000000005,complier
44.2,8308.0,45.4,44.1,1,1,75.4,34.49,complier
36.2,2032.0,33.4,16.3,0,0,33.4,36.190000000000005,complier
44.4,11054.0,49.21,11.8,1,0,49.21,16.79,never-taker
32.2,2979.0,37.48,3.8,0,0,37.48,18.450000000000003,never-taker
47.5,17851.0,63.13,15.6,1,0,63.13,14.82,never-taker
36.6,691.0,34.63,20.9,0,0,34.63,18.849999999999994,never-taker
37.7,8925.0,48.54,48.6,1,1,78.53999999999999,34.050000000000004,complier
46.6,3090.0,38.28,33.1,0,0,38.28,18.34,never-taker
35.7,2682.0,35.1,6.7,1,0,35.1,18.79,never-taker
54.3,6124.0,42.44,21.4,1,0,42.44,17.75,never-taker
44.6,6921.0,42.05,14.1,0,0,42.05,17.800000000000004,never-taker
43.5,647.0,31.53,44.0,1,1,61.53,36.46,complier
50.0,2560.0,35.28,40.6,1,1,65.28,35.92999999999999,complier
43.6,6568.0,45.15,36.1,0,0,45.15,17.36,never-taker
45.2,3578.0,36.3,22.3,0,0,36.3,35.78,complier
43.2,2014.0,35.47,10.8,1,0,35.47,18.74,never-taker
41.5,8330.0,46.57,45.6,1,1,76.57,34.330000000000005,complier
45.9,4562.0,37.84,34.1,1,1,67.84,35.56,complier
46.6,1973.0,37.04,4.6,1,0,37.04,18.51,never-taker
37.6,8172.0,46.86,48.5,0,0,46.86,34.290000000000006,complier
39.6,5426.0,42.85,33.4,1,0,42.85,17.689999999999998,never-taker
40.7,2389.0,37.92,27.1,0,0,37.92,18.39,never-taker
43.9,4395.0,39.62,22.4,1,0,39.62,18.15000000000001,never-taker
45.7,7733.0,44.47,27.7,0,0,44.47,34.629999999999995,complier
54.8,993.0,34.06,12.3,1,0,34.06,18.94,never-taker
45.4,6946.0,44.17,44.5,1,1,74.17,34.67,complier
43.1,1611.0,32.81,10.9,0,0,32.81,19.11,never-taker
40.4,2265.0,36.62,46.3,0,0,36.62,35.74,complier
48.9,1371.0,34.81,9.1,0,0,34.81,18.83,never-taker
43.9,2098.0,34.78,21.6,1,0,34.78,18.83,never-taker
45.7,5144.0,42.05,21.1,0,0,42.05,17.800000000000004,never-taker
44.0,9218.0,46.65,18.3,1,0,46.65,17.15,never-taker
46.8,7756.0,44.97,8.6,0,0,44.97,17.39,never-taker
46.4,12522.0,51.1,19.1,0,0,51.1,33.690000000000005,complier
45.9,3583.0,38.11,44.5,1,1,68.11,35.53,complier
44.0,22635.0,68.01,50.5,1,1,98.01,31.289999999999992,complier
44.5,3061.0,35.4,22.5,1,1,65.4,35.910000000000004,complier
45.9,12368.0,52.69,43.2,1,1,82.69,33.46000000000001,complier
34.4,879.0,34.58,60.0,0,0,34.58,36.03,complier
43.8,748.0,32.44,26.8,0,0,32.44,36.33,complier
48.9,2125.0,34.47,32.5,0,0,34.47,36.040000000000006,complier
41.6,1045.0,35.75,53.0,1,1,65.75,35.86,complier
33.5,3196.0,37.8,42.3,1,1,67.8,35.57000000000001,complier
37.1,3048.0,36.66,59.1,1,1,66.66,35.730000000000004,complier
44.4,9887.0,50.06,31.7,0,0,50.06,16.67,never-taker
40.4,4702.0,38.27,14.6,0,0,38.27,18.34,never-taker
44.7,1385.0,33.87,8.6,1,0,33.87,18.96,never-taker
43.9,2487.0,36.47,22.5,1,0,36.47,18.590000000000003,never-taker
41.7,6725.0,45.31,23.8,0,0,45.31,17.339999999999996,never-taker
39.4,1843.0,36.59,19.2,1,0,36.59,18.58,never-taker
45.0,15218.0,57.31,20.9,1,0,57.31,15.64,never-taker
44.3,340.0,33.51,9.4,0,0,33.51,19.010000000000005,never-taker
43.4,1204.0,32.61,28.1,0,0,32.61,36.31,complier
48.4,329.0,32.88,9.6,0,0,32.88,19.099999999999994,never-taker
45.0,2751.0,37.19,32.3,0,0,37.19,35.66,complier
41.0,9785.0,48.75,2.1,1,0,48.75,16.849999999999994,never-taker
42.2,1104.0,32.03,23.8,1,1,62.03,36.39,complier
43.7,2811.0,37.3,8.5,1,0,37.3,18.480000000000004,never-taker
44.6,969.0,32.5,31.2,1,1,62.5,36.31999999999999,complier
50.7,2841.0,36.24,38.9,0,0,36.24,35.79,complier
52.4,1246.0,36.42,12.3,1,0,36.42,18.6,never-taker
41.7,341.0,34.53,21.1,1,0,34.53,18.87,never-taker
38.9,3953.0,37.1,8.1,0,0,37.1,18.5,never-taker
41.3,815.0,31.38,14.2,0,0,31.38,19.320000000000004,never-taker
46.1,4462.0,40.63,25.1,1,0,40.63,18.0,never-taker
48.2,11855.0,50.18,22.9,1,1,80.18,33.82,complier
42.0,865.0,33.46,14.5,0,0,33.46,19.02,never-taker
39.4,464.0,30.67,8.3,0,0,30.67,19.42,never-taker
45.9,6851.0,45.32,32.6,0,0,45.32,17.339999999999996,never-taker
47.1,4482.0,41.34,5.8,0,0,41.34,17.9,never-taker
49.2,8375.0,45.57,9.9,1,0,45.57,17.299999999999997,never-taker
40.8,6277.0,44.38,27.9,1,0,44.38,17.47,never-taker
45.6,1244.0,33.98,35.1,1,1,63.98,36.11000000000001,complier
35.8,2658.0,35.14,29.7,0,0,35.14,35.95,complier
43.5,4080.0,39.92,22.0,0,0,39.92,18.1,never-taker
47.6,2802.0,36.37,69.0,1,1,66.37,35.77,complier
51.4,5747.0,42.17,10.2,1,0,42.17,17.79,never-taker
45.5,8026.0,47.25,31.4,1,0,47.25,17.069999999999993,never-taker
42.8,4189.0,40.05,15.0,1,0,40.05,18.090000000000003,never-taker
37.0,6012.0,40.25,10.7,0,0,40.25,18.06,never-taker
45.1,1762.0,33.71,5.9,0,0,33.71,18.98,never-taker
47.2,4287.0,38.36,21.6,1,0,38.36,18.33,never-taker
49.1,2372.0,36.68,37.8,0,0,36.68,35.73,complier
45.2,1502.0,34.07,39.0,0,0,34.07,36.1,complier
39.2,14293.0,56.21,31.7,1,1,86.21000000000001,32.96,complier
46.8,5778.0,41.14,12.0,0,0,41.14,17.93,never-taker
52.4,949.0,32.84,11.0,0,0,32.84,19.11,never-taker
42.7,5924.0,41.36,18.8,1,0,41.36,17.9,never-taker
40.0,7416.0,44.76,30.9,1,1,74.75999999999999,34.580000000000005,complier
42.4,2839.0,35.71,23.3,0,0,35.71,35.87,complier
43.9,5630.0,40.31,11.2,0,0,40.31,18.05,never-taker
41.4,10362.0,47.69,42.9,1,1,77.69,34.17,complier
47.5,32829.0,85.46,19.3,1,1,115.46,28.820000000000007,complier
46.2,3989.0,40.69,36.1,1,0,40.69,18.0,never-taker
42.3,4471.0,41.54,38.2,1,1,71.53999999999999,35.04,complier
43.9,2499.0,36.55,34.3,1,1,66.55,35.75,complier
36.3,5317.0,39.34,21.4,0,0,39.34,35.349999999999994,complier
45.6,1744.0,36.03,22.4,0,0,36.03,18.66,never-taker
37.0,1952.0,36.53,39.7,0,0,36.53,35.75,complier
42.6,4899.0,42.07,24.0,0,0,42.07,17.799999999999997,never-taker
41.7,7672.0,42.93,4.4,0,0,42.93,17.68,never-taker
46.3,12581.0,54.99,28.6,1,0,54.99,15.969999999999992,never-taker
41.8,967.0,33.06,18.2,0,0,33.06,19.08,never-taker
43.8,9703.0,47.46,51.1,1,1,77.46000000000001,34.2,complier
51.5,7850.0,46.54,43.8,1,1,76.53999999999999,34.330000000000005,complier
36.2,700.0,31.67,25.4,1,1,61.67,36.44,complier
44.6,6934.0,41.87,43.3,0,0,41.87,34.99,complier
48.3,1171.0,34.61,8.6,0,0,34.61,18.86,never-taker
40.9,4986.0,39.92,27.8,0,0,39.92,35.27,complier
44.1,1504.0,33.66,14.4,0,0,33.66,18.99,never-taker
